,Text
0,merhaba can gurler belirttiginiz urunle ilgili detayli bilgiye adresimizden ulasabilirsiniz ilginize tesekkur ederiz
1,-bir mesaj atsa! *mesaj sesi* (şok ifadesi) noooolur o olsun! + sayın abonemiz... amk turkcell:))))
2,mbps fiber baglantim var ama nedense ustunu goremedim gece arasi girsem olur dersin turktelekom saka gibisiniz
3,fiberin hizi vatandasin cebindeki parayi nasil aliriza odakli olmus
4,sakin vestel almayinnher urunu bozuk arkasinds durmuyorlar
5,devre bende var oyle hizli degil bosver
6,merhaba hikmet yuce indirimlerimizle ilgili onceden bilgi paylasimi yapamiyoruz kampanyalarimizdan herkesten once haberdar olmak icin sayfamizi sik sik ziyaret etmenizi oneririz ilginize tesekkur ederiz
7,mazen borghal
8,ne fiber gucuymus aydir hat cekemediniz ankara gobegine
9,erol köse:turkcell bayisinde ''kontör bulunur'' yazısı bana aziz nesin'i hatirlatti..yok molped mi saticaktiniz....
10,yil boyunca kaldirmadim kafami dersten bence artik hak ettim tamam belki dusuktu sinavlarim bazen olabilir kopyalarim kitabi geciririm kagida alirim gene hediye alsaniz olur yani dediniz kitap oku okudum dediniz calis calistim ama artik beni ailem yada teknosa gorun beni tesekkurler insallah birinci olabilirim
11,sizin bahsettiginiz kattan daha hizli dediginiz internet turk telekom fiber internetii peki mobil internet neden yavas kaplumba gibi bosuna kandiriyorsunuz insanlari size guvendik hat aldik ustelik birde cihaz aldik internete giremiyoruz be
12,ronaldo abim beee
13,ordu asiisst calisan kisilere buyuk kiyak yapiliyor basarili olanlar yerinde sayiyor basarisiz olanlar arkasina almislar yoneticileri yukseliyorlar hani basari kalite universite mezunu onemliydi hak yiyorsunuz hakk
14,su bagcilar kazimkarabekir uvey evlat muamelesi yapmayin artik gectim duzgun verin yeter camin dibinde dis zor cekiyor oturdugumuz yerde gidip geliyor
15,"""sayın süreyya ciliv, klasör yok ama sizi olumsuz haberler konteynırına götürelim isterseniz"" :))"
16,blackberry sahipler turkcell kampanyasi oncesi blackberry sahiperi ve turkcell kampanyasi sonrasi blackberry sahipleri diye ikiye ayrilir
17,tesekur ederim
18,arkadaslar aptallik yapdim diye sorarsaniz teknosadan notebok aldim eve geldim bana kullanilmis bilgisayari vermisler tekrar gitdim urun kullanilmis tekrar degistirdiler beni kandirmayi basardilar yil tekno garanti yaptirdilar notebook arizalandi tekno garantiye yolladim geri geldi ekranlarinda garanti gozukmuyormus hayir ben yapayimmmmmmmmmmmmmmmm
19,yunus sinem evlilik #3kelimeyle2011
20,yaklasik yorum okudum sagolun sikintim kalmadi otomatik cevap vermeyin lutfen
21,hergun sehitlerimiz oluyor hala fiber ugrasiyosunuz teknolojiden biraz daha geride kalsak olur sizi kiniyorum
