,Text,Label
0,turkcellmüzik biraz daha gelişsin fizy yi tamamen bırakıcam söz.,1
1,hayat paylaşınca güzel...türkcell...,1
2,superonline varya daha iyi,1
3,hahaha kanka turkcell bu 4 ceker :d,1
4,turkcell 3 tl hediye etse bana ne güzel olur =),1
5,eğer bir gün isterseniz siz de turkcell kampanyalarından yararlanabilirsiniz.. yoksa halá turkcell li diil misiniz..,1
6,superonline tabiki :),1
7,"ben teşekkür ederim:) hayat paylaşınca güzel desek, turkcell sponsor olurmu acaba:)",1
8,tabiki hayat paylaşınca güzel :)) sohbetin çok hoşmuş yaa :),1
9,&amp; sen neleri cozmussun burası ne ki senin icin sekerim:)) bu arada turkcell reklamı ve senin yorumun şahane..tebrikler canım..,1
10,bendeniz #turkcell e geçmiş bulunuyorum.,1
11,butun cuma gunleri boyle olsa.. :)) turkcell #pazarlamakonferansi - charlene li,1
12,onunda bir iphone 4s si olsun haydi türkcell yap bu güzelliği:)yada aramızda para toplayalım filan :)),1
13,bu şarkıya bayıldım  o_o cok yakında turkcell inde yeni yıl jingle cıkar  o-0,1
14,lan turkcell e bak yeni cihaz veriyormuş sonunda,1
15,en yeni en iyi iphone 4s interneti ile birlikte 99 tl'den başlayan tekliflerle turkcell farkıyla....,1
16,girmezmiyim.. turkcell kartim bile var.. yarindan itibaren onu takicam.. twittersiz denedim sadece 3 gun yapabildim:))))),1
17,""" bahçeşehir univ tesekkurler.. türkiye ye deger katanlar ödülü turkcell ceo sureyya ciliv'e..""",1
18,özturkcell reklami cok iyi olmus abi ya :d suan türkiye deee sadece 1 tane var :d,1
19,kaç kez sonbohar kaçç kezz dedimm hayaaaatt ! vodafone freezone kullanmıyorum ama hoşuma gidiyorum.. ben genç turkcel. türkcel'li̇ni̇n gücü !,1
20,"çarsamba gecesi suadiye türkcell çalısanlarının düzenlemiş olduğu karaoke gecesinde görüşmek üzere,,,,",1
21,"$u turkcell reklamina bayiliyorum.. ""mekanigini anlayamadin"" hahahaha ozturkselli olmak istiyorum :d",1
22,oh be!! cok mutluyum :) 150 dakıkam ve 5300 sms verdi turkcell :),1
23,turkcell hayatımdakı kolaylık ondan :),1
24,oh hayat size güzel ama unutma hayat paylaşınca güzel :-)))),1
25,sagolsun bir turkcell beni yalniz birakmiyor.,1
26,"#turkcellmuzik turkcell'e teşekkürler ""fly to stay alive"" çok güzel anadolu kartallarında duyduğmda resmen uçmuş gibi oldm yani fly baby fly",1
27,"millet ""muzik"" yazıp 1040'a gönderin 20/50 dk ßedavaa geliyor yeminlee yapın turkcel sadece .!",1
28,mahalleden superonline geçse iyiymiş.,1
29,bence gnçtrkcll ark winterfest 2012'de 1.olur da gelir :),1
30,turkcell 4 çekiyo yavruş :o,1
31,bu turkcell ile  aramız her ne kadar iyi olmasa da böyle hediyeler verdikce gözüme giriyorlar :d,1
32,mutluluğun sırrı = paylaşmak :) nede olsa hayat paylaşınca güzel ;),1
33,kamil koç un turkcell kornası güzel olmuş :),1
34,hayat paylaşınca güzel hayatım :)),1
35,biz hala iyiyiz hayat paylasınca güzel la ala la kurumsal temsilci,1
36,bu türkcell beni seviyor. yoksa 13.13ten başka msj atacak zaman mı yok.,1
37,turkcell al haci dört çeker :),1
38,"***alem*** artık daraldıysan herşeyden eğerki bıktıysan kotuysan hayattan,,,  türkselle bağlan hayata :)",1
39,"""hayat paylaşınca güzel"" tabi.",1
40,kesinlikle süperonline.hatta tivibuyu da öneririm.gayet güzel imkanları var;),1
41,bu da son olsun bu günlük . * hayat paylaşınca güzel. aynı yatakta bir yastığı mesela.. #takipedenitakipederim,1
42,"hadi yine süpersiniz, iyi sıyırdınız. iphone 4s olayından",1
43,di̇kkat! bu ti̇vi̇t kiskançlik i̇çerebi̇li̇r..fizy nin kapatılması bir pr çalışması mıydı acaba?türksel zekisin..,1
44,heee o mesele evet ttneti kapattırdık yerine superonline bağlattırdık hamdolsun ayrılık bi hafta sürdü ama :d geri döndüm gene :d,1
45,hayat paylaşınca güzel lalalalalalalalalal :d,1
46,kesinlikle superonline,1
47,"""sana"" yag gibi olmus; - bana bir vinn versene. - tabi avea vinn mi olsun, voda mi? :) turkcell den sasilmaz..",1
48,süperonline kesinllikle . .,1
49,"yatak aldim, yorgan ve yastigi turkcell verdi :)",1
50,sen vodafone gibi ani yasarken ben turkcell gibi her yerde seni cekemem.,1
51,opuldun bebegim ;) tebrikler! size ozel 1 ay boyunca yurtici heryone 100 dakika ve 300 sms kazandiniz. gule gule kullanin!,1
52,"o laftan sonra ""nasıl alıyor bunları bu telefonu"" dediği zaman biri çıkıp ""turkcell'de kampanya var çok ucuza"" diyecektir elbet.",1
53,medyaplus - turkcell superonline'dan 1 milyon eve fiber internet,1
54,i phone / turkcell müzik application.. mutlaka deneyin...,1
55,"bizim blog turkcell blog ödülleri spor dalında ilk10a girmiş, kazananlar 5 ocak perşembe point otel'de yapılacak törende açıklanacakmış.",1
56,evet bu lafım laf çakmak için yer aramak oldu:d lafımı sadece turkcell için geri alıyorum:d,1
57,"""tesekkurler""   ;)",1
58,"iphone 4s 32 gb beyaz aldım turkcell den, hayırlı olsun bana :)",1
59,samsung ve turkcell’den kaçırılmayacak kampanya: samsung ; her an bağlantıda kalmanızı sağlayan qwerty klavyeli ...,1
60,2012de ki sevgililerimi buldum: turkcell (galp) wikipedia (galp) google #finallergeliyorhaci,1
61,#neolursaolsun hayat paylaşınca güzel lala la la la lala,1
62,nolucak benim bu mikrofon merakim sonunda bunuda yaptim o ses turkcell de yarin aksam performans sergileyecegim bide kazanirsanm var ya:),1
63,"check out my result from    turkcell superonline, harbiden süper :))",1
64,#2012hayallerimin ilk sırasında aylardır söyleyip durduğum gibi numaramı turkcell'e taşımak var. hayal olarak kalmasın ama. nioğğlur.,1
65,migros'ta telefonunu turkcell'e taşıyana 50tl lik alışveriş hakkı veriliyormuş. yakında numarasını taşıyana maaş bağlayacaklar herhalde.,1
66,avea ne lan kenkzz? rus karısı ismi falan mı? ccc turkcell 3g internet hızı siker amk ccc,1
67,turkcell yeni yildizini bulmus,1
68,belirteyim yeni hattım turkcell ve tuvalette bile çekiyor :) avea öyle kenarda durmakta. çok uğraştım çok anlattım nafile.,1
69,cem yilmazin oynadigi turkcell reklami ne öyle ya gülme krizndeym süper yapmislar :dd,1
70,mudo'dan iki hediye alan turkcell'lilere üçüncüsü hediye,1
71,"küçük kardeşim geldi ""oyundayım ayten"" dedi bana. oğlum 3 yaşındasın yaşına göre davran :) turkcell reklamı hastası nolcak:)",1
72,"""hayat paylaşınca güzel""",1
73,turkcell'in 3g hızı abd'de deki 4g'den daha hızlı :),1
74,turkcell super online 20mbps fiber internet.en iyisi.eğer bulduğunuz çevrede varsa fiber internet alt yapısı düşünmeyin bence.,1
75,bu haftasonu farklı geçsin istiyorsanız gidin suç ve ceza'yı okuyun bitirin sonra da bana anlatın hayat paylaşınca güzel lalalalalaaa,1
76,"doğum günümü kutlayan turkcell, miles&amp;smiles ve hatta greenpeace'e bile teşekkür ediyorum, birtanesiniz :)",1
77,turkcell gold/platinum kullanıcısı isen %50 indirim hakkı.. mart'a kadar 3 kez kullanma hakkın var ;),1
78,saygıdeğer sayın sevgili turkcell ailesine en guzel dıleklerımı yolladıktan sonra isteğimin onaylanması beni sevindirmedi değil yani :d,1
79,kadi̇rle bağlan hayata  :=)),1
80,"i̇phone'un yeni modeli i̇phone 4s, turkcell tarafından satışa sunulacak.",1
